Escola;Email;Telefone;Endereço;Município;Estado;CEP
"CEFET Celso Suckow da Fonseca";faleconosco@cefet-rj.br;"(21) 2566-3022";"Avenida Maracanã, 229";"Rio de Janeiro";RJ;20271-110
"CMEB Oswaldo Aranha";cmeboswaldoaranha@gmail.com;"(51) 3473-6079";"Rua Rio Grande, 1285";Esteio;RS;93265-000
"Colégio da Imaculada";sec@colegiodaimaculada.com.br;"(51) 3466.7536";"Rua Ana Nery, 1285";Canoas;RS;92200-250
"Colégio Dom Feliciano";colegio@colegiodomfeliciano.com.br;"(51) 3488-1400";"Avenida José Loureiro da Silva, 655";Gravataí;RS;94010001
"Colégio Espírito Santo";secretaria@ces.g12.br;"(51) 3472-1502";"Rua Tamoio, 3393";Canoas;RS;92120-002
"Colégio Estadual Jussara Maria Polidoro";cejussaramariapolidoro-can27cre@seduc.rs.gov.br;"(51) 3468-4034";"Avenida Dezessete de Abril, Setor 3, 82";Canoas;RS;92415-000
"Colégio Fleming - Passo Fundo";enelise.scapin@flemingeducacao.com.br;"(54) 3622-7319";"Rua Júlio de Castilhos, 64";"Passo Fundo";RS;99010-690
"Colégio Fleming - Porto Alegre";anderson.barcelos@flemingeducacao.com.br;"(51) 32696800";"Rua Coronel Frederico Linck, 25";"Porto Alegre";RS;90035-010
"Colégio Luterano Concórdia - Canoas";direcao@concordia.g12.br;"(51) 3475-1243";"Rua Capistrano de Abreu, 130";Canoas;RS;92120-130
"Colégio Luterano Concórdia - São Leopoldo";direcao@concordiasl.com.br;"(51) 3037-8200";"Avenida Getúlio Vargas, 4388";"São Leopoldo";RS;93022-422
"Colégio Luterano Sião";comunicacao@ielb.org.br;"(51) 3560-1085";"Rua Rodolfo Dreyer, 183";Araricá;RS;93880-000
"Colégio Marechal Rondon";rondoncanoas@gmail.com;"(51) 3463-8010";"Rua Santini Longoni, 147";Canoas;RS;92020270
"Colégio Maria Auxiliadora";auxiliadora@auxiliadora.net;"(51) 3462-8600";"Avenida Guilherme Schell, 5888";Canoas;RS;92.310-364
"Colégio Marista Rosário";colegio.rosario@maristas.org.br;"(51) 32841200";"Praça Dom Sebastião, 2";"Porto Alegre";RS;90035080
"Colégio Odilon Braveza";meninas.ciencia2@gmail.com;"(85) 3486 9000";"Rua Oito de Setembro, 1330";Fortaleza;CE;60175-210
"Colégio Santa Doroteia";colegio@santadoroteia-rs.com.br;"(51) 3340-7908";"Rua Mali, 405";"Porto Alegre";RS;91370230
"Colégio São Judas Tadeu";matriculas@saojudastadeu.edu.br;"(51) 3340-7888";"Rua Dom Diogo de Souza, 100";"Porto Alegre";RS;91350-000
"Colégio São Luís";secretaria@colsaoluis.g12.br;"(51) 3037-1692";"Rua Bento Gonçalves, 1375";"São Leopoldo";RS;93010-220
"Cristo Redentor";ulbracristoredentor@ulbra.br;"(51) 3472-5166";"Avenida Inconfidência, 1231";Canoas;RS;92.030-320
