Escola;Email
"E.E.E.F. Padre Jaeger";padrejaeger@gmail.com
"E.E.E.M. José Gomes Vasconcelos Jardim";escolagomesjardim@yahoo.com.br
"E.E.E.M. André Leão Puente";escolaandrepuente@gmail.com
"EMEF Arthur Pereira de Vargas";arthurpdevargas@hotmail.com
"EMEF Assis Brasil";emefassis@gmail.com
"EMEF Carlos Drumond de Andrade";emefcarlosdrummond@gmail.com
"EMEF Dr. Nelson Paim Terra";nelsonpaimterra@gmail.com
"EMEF Erna Würth";ernawurth.escola@gmail.com
"EMEF Leonel de Moura Brizola";emefleonelbrizolacanoas@gmail.com
"EMEF Max Adolfo Oderich";maxoderich@yahoo.com.br
"E.E.E.F. Canoas";escolacanoas@gmail.com
"E.E.E.F. Cel. Vicente Freire";vicentefreire@brturbo.com.br
"E.E.E.F. Clotilde Batista";efprofclotildebatista-can27cre@seduc.rs.gov.br
"E.E.E.M. São Francisco de Assis";escolasfranciscoassis@gmail.com
"E.E.E.F. Fátima";escolafatimacanoas@gmail.com
"E.E.E.F. Jasmelino Jardim";jasmelinojardim@gmail.com
"EMEF Monteiro Lobato";emef.monteirolobato@gmail.com
"E.E.E.F. Prof. Germano Witrock";escolagermanowitrock@gmail.com
"E.E.E.F. Protásio Diogo de Jesus";efprotasiodiogodejesus-can27cre@seduc.rs.gov.br
"E.E.E.F. Vasco da Gama";efvascodagama@seduc.rs.gov.br
"EMEF Ceará";escola.ceara.canoas@gmail.com
"E.E.E.M. Affonso Charlier";affonsocharlier@hotmail.com
"EMEF Duque de Caxias";emefduquedecaxias@gmail.com
"EMEF Ícaro";emeficaro@gmail.com
"EMEF Farroupilha";efarroupilha@yahoo.com.br
"EMEF Barão de Mauá";escola.barao.maua@gmail.com
"E.E.E.M. Guarani";escola.guarani@terra.com.br
"E.E.E.M Tereza Francescutti";ceterezafrancescutti-can27cre@seduc.rs.gov.br
"EMEF Eng. Ildo Meneghetti";emefildomeneghetti@gmail.com
"EMEF Castelo Branco";emefcastelobranco@hotmail.com
"EMEF David Canabarro";emef.davidcanabarro@gmail.com
"EMEF João Palma da Silva";lebasi.psi@gmail.com
"SENAC/RS Tramandaí";senactramandai@senacrs.com.br
"EMEF Pernambuco";e.m.e.f.pernambuco@gmail.com
"E.E.E.F. Cristovão Colombo";efcristovaocolombo-can27cre@seduc.rs.gov.br
"E.E.E.F. João XXIII";joaoxxiii27cre@educacao.rs.gov.br
"E.E.E.M. Bartolomeu de Gusmão";escolabgusmao@yahoo.com.br
"EMEF Gal. Neto";escolageneralneto@gmail.com
"EMEF Jacob Longoni";emef.jacoblongoni@canoasedu.rs.gov.br
"EMEF Irmão Pedro";emirmaopedro@gmail.com
"EMEF João Paulo I";emefjoaopaulo@gmail.com
"EMEF Odette Y. Oliveira Freitas";escolaodettefreitas@gmail.com
"EMEF Paulo VI";escolapaulovicanoas@gmail.com
"IFRS Canoas";comunicacao@canoas.ifrs.edu.br
"IFSul Camaquã";camaqua@ifsul.edu.br
"IFSul Charqueadas";gabdir@charqueadas.ifsul.edu.br
"IFSul Gravataí";gravatai@ifsul.edu.br
"IFSul Passo Fundo";gabdir@passofundo.ifsul.edu.br
"IFSul Sapiranga";sapiranga@ifsul.edu.br
"IFSul Venâncio Aires";davenancioaires@ifsul.edu.br
"IFSul Pelotas";gabdir@pelotas.ifsul.edu.br
"IFSul Pelotas – Visconde da Graça";cavg@cavg.ifsul.edu.br
"La Salle Canoas";secretaria.canoas@lasalle.org.br
"La Salle Niterói";atendimento.niteroi@lasalle.org.br
"IFRS Caxias do Sul";comunicacao@caxias.ifrs.edu.br
"IFRS Erechim";comunicacao@erechim.ifrs.edu.br
"IFRS Farroupilha";comunicacao@farroupilha.ifrs.edu.br
"IFRS Feliz";comunicacao@feliz.ifrs.edu.br
"IFRS Ibirubá";comunicacao@ibiruba.ifrs.edu.br
"IFRS Osório";comunicacao@osorio.ifrs.edu.br
"IFRS Porto Alegre";comunicacao@poa.ifrs.edu.br
"IFRS Restinga";comunicacao@restinga.ifrs.edu.br
"IFRS Rio Grande";comunicacao@riogrande.ifrs.edu.br
"EMEF Profº Doutor Rui Cirne Lima";rui.cirne@hotmail.com
"EMEF Tancredo de Almeida Neves";emeftancredo@gmail.com
"EMEF Theodoro Bogen";perdomini@hotmail.com
"E.E.E.M. Barão do Amazonas";eeembaraodoamazonas@gmail.com
"EMEF Cel Francisco Pinto Bandeira";emefpintobandeira@gmail.com
"Cristo Redentor";ulbracristoredentor@ulbra.br
"EMEF Rondônia";emefrondonia@hotmail.com
"E.E.E.F. Antonio Francisco Lisboa";lisboasecretaria@yahoo.com.br
"E.E.E.F. Planalto Canoense";dioraci@hotmail.com
"EMEF Prof. Thiago Wurth";thiagowurth@pop.com.br
"EMEF Arthur Oscar Jochims";emefaoj1@gmail.com
"E.E.E.M. Guilherme de Almeida";emguilhermedealmeida-can27cre@seduc.rs.gov.br
"EMEF Rio De Janeiro";emef.riodejaneiro@gmail.com
"EMEF Sete de Setembro";escola.sete@yahoo.com.br
"EMEF Rio Grande do Sul";emefrgs@gmail.com
"Colégio Espírito Santo";secretaria@ces.g12.br
"E.E.E.Esp. Brigadeiro Ney Gomes";escolaespecialneygomes@gmail.com
"I.E.E. Dr. Carlos Chagas";ieecarloschagas@yahoo.com.br
"IFSul Lajeado";lajeado@ifsul.edu.br
"E.E.E.M Prof. Margot Terezinha Noal Giacomazzi";margotgiacomazzi55@gmail.com
"EMEF Pref. Edgar Fontoura";escolaedgarfontoura@gmail.com
"IFSul Bagé";bage@ifsul.edu.br
"IFSul Sapucaia do Sul";comunicacao@sapucaia.ifsul.edu.br
"IFSul Avançado Novo Hamburgo";novohamburgo@ifsul.edu.br
"IFSul Santana do Livramento";gabdirlivramento@ifsul.edu.br
"IFRS Bento Gonçalves";comunicacao@bento.ifrs.edu.br
"IFRS Sertão";comunicacao@sertao.ifrs.edu.br
"EMEF Especial para Surdos Vitória";esc.vitoria@gmail.com
"Colégio Marechal Rondon";rondoncanoas@gmail.com
"EMEF Presidente João Goulart";joaogoulart.sg@gmail.com
"E.E.E.F. Cônego José Leão Hartmann";escolaconegoleao@gmail.com
"EMEF - Guajuviras";escola.guajuviras@gmail.com
"E.E.E.M. Érico Veríssimo";emericoverissimo-can27cre@seduc.rs.gov.br
"E.E.E.M. Miguel Lampert";cemiguellampert-can27cre@seduc.rs.gov.br
"Colégio Luterano Concórdia - Canoas";direcao@concordia.g12.br
"Colégio Luterano Concórdia - São Leopoldo";direcao@concordiasl.com.br
"Colégio São Luís";saoluis@colsaoluis.g12.br
"IFSul Avançado Jaguarão";jaguarao@ifsul.edu.br
"Colégio Maria Auxiliadora";auxiliadora@auxiliadora.net
"Escola SESI de Ensino Médio Arthur Aluízio Daudt";escolasesi.sapucaia@sesirs.org.br
"EMEF Ministro Rubem C. Ludwig";emef.ministrocarlosludwig@gmail.com
"Colégio Estadual Jussara Maria Polidoro";cejussaramariapolidoro-can27cre@seduc.rs.gov.br
"Colégio Santa Doroteia";colegio@santadoroteia-rs.com.br
"Colégio da Imaculada";sec@colegiodaimaculada.com.br
"Colégio Dom Feliciano";colegio@colegiodomfeliciano.com.br
"E.E.E.F. Ezequiel Nunes Filho";efezequielnunes@gmail.com
"E.E.E. M. José Gomes de Vasconcelos Jardim";escolagomesjardim@yahoo.com.br
"Colégio Marista Rosário";colegio.rosario@maristas.org.br
"EMEF Santos Dumont";escolasantosdumont3@gmail.com
"CMEB Oswaldo Aranha";cmeboswaldoaranha@gmail.com
"EMEF Miguel Couto";escolamiguelcouto@gmail.com
"Escola Técnica Liberato Salzano";fundacao@liberato.com.br
"EMEF General Osório";generalosoriocanoas@gmail.com
"EMEF Otavio Reis";escolaotavioreis@hotmail.com
"Colégio Fleming";anderson.barcelos@flemingeducacao.com.br
"SMEE - Esteio";guilherme.sumariva@educaesteio.com.br
"Colégio Odilon Braveza";meninas.ciencia2@gmail.com
"EMEF PAUL HARRIS";paulharris.emef@edu.saoleopoldo.rs.gov.br
"EMEF CLODOMIR VIANNA MOOG";clodomir.emef@edu.saoleopoldo.rs.gov.br
"EMEF PROFESSOR JOÃO CARLOS VON HOHENDORFF";hohendorff.emef@edu.saoleopoldo.rs.gov.br
"EMEF DR. JORGE GERMANO SPERB";germano.emef@edu.saoleopoldo.rs.gov.br
"Instituto Gustavo Nordlund";secretaria.iegn@gmail.com
IPUC;contato@ipuc.edu.br
"IFC - Campus São Bento do Sul";cecom.sbs@ifc.edu.br
"EEF Santa Dorotéia Planalto";planalto@santadoroteia-rs.com.br
"EMEF Santa Marta";santamarta.emef@edu.saoleopoldo.rs.gov.br
"E.E.E.F. Augusto Severo";escolaaugustosevero@yahoo.com.br
"E.E.E Profissional Dom Pedrito";dompedrito13cre@educacao.rs.gov.br
"IFSP - Campus Bragança Paulista";braganca@ifsp.edu.br
"E.M.E.F Barão do Rio Branco";baraoriobranco.emef@edu.saoleopoldo.rs.gov.br
"IFRS Viamão";comunicacao@viamao.ifrs.edu.br
"E.E. Joaquim Saraiva";escola.167312@educacao.mg.gov.br
